city,name,street,tags,zipcode,full_address,latlon,missing
Antwerpen,Bartilia,Falconplein 43,"['Eethuis', 'Snack', '100% vegetarisch']",2000,Falconplein 43 2000 Antwerpen,"(51.225295682360944, 4.405346032620327)",False
Turnhout,Barzoen,Warandestraat 42,"['Eethuis', 'Snack']",2300,Warandestraat 42 2300 Turnhout,"(51.32459856260331, 4.943619612262634)",False
Leuven,Basecamp,Naamsestraat 16,['Eethuis'],3000,Naamsestraat 16 3000 Leuven,"(50.87844231211624, 4.700532299142458)",False
Mechelen,Basic Italian,Bruul 22,['Eethuis'],2800,Bruul 22 2800 Mechelen,"(51.02708277185859, 4.48066333683549)",False
Etterbeek,Be Positive,Jourdanplein 26,['Eethuis'],1040,Jourdanplein 26 1040 Etterbeek,"(50.83712929773853, 4.381812812513121)",False
Gent,Belga Queen,Graslei 10,['Eethuis'],9000,Graslei 10 9000 Gent,"(51.05479837484676, 3.7209597426271697)",False
Oostende,Belle du jour,Aartshertoginnestraat 5,['Eethuis'],8400,Aartshertoginnestraat 5 8400 Oostende,"(51.22989099952995, 2.916976007330142)",False
Brussel,Bellone Café,Vlaamsesteenweg 46,['Snack'],1000,Vlaamsesteenweg 46 1000 Brussel,"(50.851349518519655, 4.346386126894671)",False
Brugge,Bhavani,Simon Stevenplein 5,['Eethuis'],8000,Simon Stevenplein 5 8000 Brugge,"(51.20635474285077, 3.2231053582595637)",False
Sint-Niklaas,Biko,Sacramentstraat 3,"['Eethuis', 'Snack']",9100,Sacramentstraat 3 9100 Sint-Niklaas,,True
Kessel-Lo,Biokoffiebar Reispunt,Martelarenlaan 14,['Snack'],3010,Martelarenlaan 14 3010 Kessel-Lo,"(50.88188143499887, 4.717338791914262)",False
Widooie (Haren),Bistro Bis,Hemelingenstraat 23,['Eethuis'],3700,Hemelingenstraat 23 3700 Widooie (Haren),"(50.781849386943776, 5.463072362499631)",False
Aalst,Bistro D'licious,Keizersplein 22a,"['Eethuis', 'EVA voordeel']",9300,Keizersplein 22a 9300 Aalst,"(50.93733997451418, 4.035177431453215)",False
Antwerpen,Bites and Wines,Oude Beurs 60,"['Eethuis', '100% plantaardig']",2000,Oude Beurs 60 2000 Antwerpen,"(51.22143163567633, 4.402179671328716)",False
Kalmthout,Bjorn Matheusen,Molenstraat 4,['Cateraar'],2920,Molenstraat 4 2920 Kalmthout,"(51.394670836508645, 4.473264698470573)",False
 Aalst,Black and White,Koostraat 107,['Eethuis'],9300,Koostraat 107 9300  Aalst,,True
Gent,Bluesette,Sint-Kwintensberg 85,['Eethuis'],9000,Sint-Kwintensberg 85 9000 Gent,"(51.04479131654757, 3.723878785100654)",False
Antwerpen,Bollywood,Lange Herentalsestraat 56,"['Eethuis', '100% vegetarisch']",2018,Lange Herentalsestraat 56 2018 Antwerpen,"(51.21459512807877, 4.417287451516119)",False
